Instance,Terminal,Layer,X location,Y location,Voltage
PHY_EDGE_ROW_14_Right_14,VGND,li1,54.5100,48.9600,0.000008
PHY_EDGE_ROW_13_Right_13,VGND,li1,54.5100,48.9600,0.000008
PHY_EDGE_ROW_12_Right_12,VGND,li1,54.5100,43.5200,0.000013
PHY_EDGE_ROW_11_Right_11,VGND,li1,54.5100,43.5200,0.000013
PHY_EDGE_ROW_10_Right_10,VGND,li1,54.5100,38.0800,0.000008
PHY_EDGE_ROW_9_Right_9,VGND,li1,54.5100,38.0800,0.000008
PHY_EDGE_ROW_8_Right_8,VGND,li1,54.5100,32.6400,0.000007
PHY_EDGE_ROW_7_Right_7,VGND,li1,54.5100,32.6400,0.000007
PHY_EDGE_ROW_6_Right_6,VGND,li1,54.5100,27.2000,0.000007
PHY_EDGE_ROW_5_Right_5,VGND,li1,54.5100,27.2000,0.000007
PHY_EDGE_ROW_4_Right_4,VGND,li1,54.5100,21.7600,0.000008
PHY_EDGE_ROW_3_Right_3,VGND,li1,54.5100,21.7600,0.000008
PHY_EDGE_ROW_2_Right_2,VGND,li1,54.5100,16.3200,0.000005
PHY_EDGE_ROW_1_Right_1,VGND,li1,54.5100,16.3200,0.000005
PHY_EDGE_ROW_0_Right_0,VGND,li1,54.5100,10.8800,0.000000
_260_,VGND,li1,9.6600,38.0800,0.000007
_259_,VGND,li1,12.4200,43.5200,0.000008
_258_,VGND,li1,33.8100,43.5200,0.000009
_257_,VGND,li1,39.5600,43.5200,0.000011
_256_,VGND,li1,42.7800,54.4000,0.000011
_255_,VGND,li1,39.5600,54.4000,0.000010
_254_,VGND,li1,42.5500,54.4000,0.000011
_253_,VGND,li1,41.4000,38.0800,0.000007
_252_,VGND,li1,42.7800,38.0800,0.000007
_251_,VGND,li1,40.9400,32.6400,0.000007
_250_,VGND,li1,37.4900,27.2000,0.000005
_249_,VGND,li1,46.0000,32.6400,0.000007
_248_,VGND,li1,44.6200,32.6400,0.000007
_247_,VGND,li1,48.5300,59.8400,0.000007
_246_,VGND,li1,49.9100,54.4000,0.000012
_245_,VGND,li1,46.9200,59.8400,0.000007
_244_,VGND,li1,40.9400,43.5200,0.000011
_243_,VGND,li1,39.7900,38.0800,0.000006
_242_,VGND,li1,38.8700,48.9600,0.000006
_241_,VGND,li1,42.3200,43.5200,0.000012
_240_,VGND,li1,44.6200,38.0800,0.000007
_239_,VGND,li1,48.7600,32.6400,0.000007
_238_,VGND,li1,50.3700,27.2000,0.000007
_237_,VGND,li1,48.3000,32.6400,0.000007
_236_,VGND,li1,46.2300,27.2000,0.000006
_235_,VGND,li1,51.2900,32.6400,0.000007
_234_,VGND,li1,34.5000,54.4000,0.000009
_233_,VGND,li1,29.9000,54.4000,0.000007
_232_,VGND,li1,32.8900,54.4000,0.000008
_231_,VGND,li1,34.9600,43.5200,0.000010
_230_,VGND,li1,41.6300,21.7600,0.000008
_229_,VGND,li1,42.3200,21.7600,0.000008
_228_,VGND,li1,46.0000,21.7600,0.000008
_227_,VGND,li1,41.6300,16.3200,0.000005
_226_,VGND,li1,40.2500,54.4000,0.000010
